id,gclass_id,week,timed,title,classroom,teacher,created_at,updated_at,clock_id,title_id,classroom_id,teacher_id,grate_id
1,1,1,,,,,33:22.4,33:22.4,1,8,18,49,3
2,1,2,,,,,34:27.2,34:27.2,1,1,18,5,3
3,1,3,,,,,34:50.0,34:50.0,1,5,18,11,3
4,1,4,,,,,35:30.3,35:30.3,1,15,49,13,3
5,1,5,,,,,35:53.1,35:53.1,1,15,49,13,3
6,1,1,,,,,36:38.7,36:38.7,2,20,5,46,3
7,1,2,,,,,37:22.2,37:22.2,2,3,18,7,3
8,1,3,,,,,37:43.2,37:43.2,2,2,18,9,3
9,1,4,,,,,38:02.6,38:02.6,2,1,18,5,3
10,1,5,,,,,38:32.4,38:32.4,2,5,18,11,3
11,1,1,,,,,39:23.4,39:23.4,3,14,49,18,3
12,1,2,,,,,40:12.0,40:12.0,3,17,36,41,3
13,1,3,,,,,40:38.1,40:38.1,3,10,49,18,3
14,1,4,,,,,41:29.2,41:29.2,3,19,18,48,3
15,1,5,,,,,42:30.2,42:30.2,3,2,18,9,3
16,1,1,,,,,42:54.8,42:54.8,4,10,49,18,3
17,1,2,,,,,43:36.1,43:36.1,4,15,49,13,3
18,1,3,,,,,44:06.2,44:06.2,4,14,49,18,3
19,1,4,,,,,44:50.5,44:50.5,4,17,36,41,3
20,1,5,,,,,45:14.9,45:14.9,4,3,18,7,3
21,1,1,,,,,45:41.9,45:41.9,5,17,36,41,3
22,1,2,,,,,46:23.8,46:23.8,5,8,18,49,3
23,1,3,,,,,46:45.3,46:45.3,5,1,18,5,3
24,1,4,,,,,47:12.2,47:12.2,5,22,1,1,3
25,1,5,,,,,47:42.1,47:42.1,5,14,49,18,3
26,1,1,,,,,48:21.1,48:21.1,6,22,1,1,3
27,1,2,,,,,49:26.5,49:26.5,6,19,18,48,3
28,1,3,,,,,50:21.1,50:21.1,6,20,5,46,3
29,1,4,,,,,50:56.8,50:56.8,6,22,1,1,3
30,1,5,,,,,51:30.8,51:30.8,6,10,49,18,3
31,1,3,,,,,57:18.3,57:18.3,7,16,18,18,3
